Date,Gold,DJI,InterestRate,Inflation,Reserves
1985-02-01,304.8,1277.719971,8.5,106.3,37.251
1985-03-01,288.1,1299.359985,8.58,106.8,37.889
1985-04-01,324.65,1272.75,8.27,107.0,37.661
1985-05-01,315.6,1242.050049,7.97,107.2,38.289
1985-06-01,313.15,1315.410034,7.53,107.5,39.385999999999996
1985-07-01,315.35,1337.140015,7.88,107.7,39.861
1985-08-01,326.75,1355.619995,7.9,107.9,39.823
1985-09-01,335.75,1334.01001,7.92,108.1,40.955
1985-10-01,323.15,1340.949951,7.99,108.5,41.02
1985-11-01,324.65,1390.25,8.05,109.0,41.13
1985-12-01,327.4,1472.130005,8.27,109.5,43.724
1986-01-01,327.4,1546.670044,8.14,109.9,42.32
1986-02-01,354.0,1570.98999,7.86,109.7,41.896
1986-03-01,338.25,1709.060059,7.48,109.1,43.537
1986-04-01,333.7,1790.109985,6.99,108.7,43.751999999999995
1986-05-01,345.6,1777.780029,6.85,109.0,44.443999999999996
1986-06-01,343.35,1876.709961,6.92,109.4,45.982
1986-07-01,345.65,1903.540039,6.56,109.5,46.758
1986-08-01,360.5,1763.640015,6.17,109.6,47.199
1986-09-01,392.0,1898.339966,5.89,110.0,47.868
1986-10-01,425.5,1782.9000239999998,5.85,110.2,47.971000000000004
1986-11-01,401.5,1877.709961,6.04,110.4,49.995
1986-12-01,399.6,1912.540039,6.91,110.8,52.258
1987-01-01,399.6,1895.949951,6.43,111.4,51.943999999999996
1987-02-01,407.3,2158.040039,6.1,111.8,53.099
1987-03-01,405.75,2223.98999,6.13,112.2,51.979
1987-04-01,418.5,2316.050049,6.37,112.7,52.356
1987-05-01,452.15,2280.399902,6.85,113.0,54.412
1987-06-01,443.4,2288.22998,6.73,113.5,52.836999999999996
1987-07-01,449.5,2409.76001,6.58,113.8,52.158
1987-08-01,464.25,2572.070068,6.73,114.3,52.878
1987-09-01,453.1,2610.969971,7.22,114.7,52.181999999999995
1987-10-01,454.1,2639.199951,7.29,115.0,53.558
1987-11-01,468.0,1993.530029,6.69,115.4,52.373000000000005
1987-12-01,486.9,1842.339966,6.77,115.6,52.631
1988-01-01,486.9,1938.8299559999998,6.83,116.0,53.033
1988-02-01,454.65,1944.630005,6.58,116.2,52.718999999999994
1988-03-01,429.15,2070.469971,6.58,116.5,52.473
1988-04-01,429.15,1988.060059,6.87,117.2,54.00899999999999
1988-05-01,449.75,2032.3299559999998,7.09,117.5,53.244
1988-06-01,457.0,2064.01001,7.51,118.0,53.92
1988-07-01,436.5,2131.580078,7.75,118.5,54.766000000000005
1988-08-01,436.4,2130.51001,8.01,119.0,54.46
1988-09-01,430.3,2002.310059,8.19,119.5,54.24100000000001
1988-10-01,396.15,2112.909912,8.3,119.9,54.208999999999996
1988-11-01,411.0,2150.959961,8.35,120.3,54.938
1988-12-01,425.5,2101.8798829999996,8.76,120.7,54.602
1989-01-01,410.15,2168.570068,9.12,121.2,54.843999999999994
1989-02-01,392.0,2338.209961,9.36,121.6,52.358999999999995
1989-03-01,386.1,2243.040039,9.85,122.2,54.351000000000006
1989-04-01,382.3,2293.6201170000004,9.84,123.1,53.659
1989-05-01,382.3,2414.959961,9.81,123.7,53.251000000000005
1989-06-01,360.8,2490.6298829999996,9.53,124.1,53.135
1989-07-01,371.15,2440.060059,9.24,124.5,53.733000000000004
1989-08-01,369.95,2641.1201170000004,8.99,124.5,53.168
1989-09-01,358.25,2752.090088,9.02,124.8,53.463
1989-10-01,369.0,2692.820068,8.84,125.4,54.455
1989-11-01,373.6,2645.899902,8.55,125.9,54.468
1989-12-01,414.15,2747.649902,8.45,126.3,54.977
1990-01-01,414.15,2753.199951,8.23,127.5,55.098
1990-02-01,413.25,2586.26001,8.24,128.0,53.648
1990-03-01,406.25,2635.590088,8.28,128.6,54.998999999999995
1990-04-01,372.2,2707.209961,8.26,128.9,55.54600000000001
1990-05-01,368.95,2668.919922,8.18,129.1,54.788000000000004
1990-06-01,363.1,2900.969971,8.29,129.9,55.355
1990-07-01,352.4,2880.689941,8.15,130.5,54.898
1990-08-01,371.1,2899.26001,8.13,131.6,55.181999999999995
1990-09-01,388.1,2614.360107,8.2,132.5,56.108999999999995
1990-10-01,400.0,2515.840088,8.11,133.4,55.408
1990-11-01,380.1,2454.949951,7.81,133.7,55.794
1990-12-01,384.8,2559.649902,7.31,134.2,58.16
1991-01-01,384.8,2633.659912,6.91,134.7,56.17100000000001
1991-02-01,367.95,2730.689941,6.25,134.8,55.798
1991-03-01,367.45,2909.899902,6.12,134.8,57.38399999999999
1991-04-01,367.45,2881.189941,5.91,135.1,57.823
1991-05-01,356.25,2930.199951,5.78,135.6,58.728
1991-06-01,361.55,3027.5,5.9,136.0,58.783
1991-07-01,368.65,2958.409912,5.82,136.2,59.861000000000004
1991-08-01,364.3,3017.669922,5.66,136.6,59.055
1991-09-01,347.0,3043.600098,5.45,137.0,60.715
1991-10-01,353.0,3018.340088,5.21,137.2,60.449
1991-11-01,357.5,3056.350098,4.81,137.8,61.288999999999994
1991-12-01,366.85,2894.679932,4.43,138.2,64.044
1992-01-01,366.85,3168.830078,4.03,138.3,62.736000000000004
1992-02-01,354.15,3223.399902,4.06,138.6,63.372
1992-03-01,353.05,3267.699951,3.98,139.1,66.654
1992-04-01,343.75,3249.300049,3.73,139.4,67.128
1992-05-01,337.1,3336.100098,3.82,139.7,68.141
1992-06-01,336.8,3413.1999509999996,3.76,140.1,67.979
1992-07-01,343.6,3354.100098,3.25,140.5,68.124
1992-08-01,357.95,3393.8000490000004,3.3,140.8,69.411
1992-09-01,342.65,3266.26001,3.22,141.1,71.658
1992-10-01,347.6,3254.399902,3.1,141.7,72.57
1992-11-01,338.8,3226.300049,3.09,142.1,74.457
1992-12-01,334.6,3294.399902,2.92,142.3,73.936
1993-01-01,334.6,3301.110107,3.02,142.8,73.221
1993-02-01,329.5,3332.199951,3.03,143.1,74.98899999999999
1993-03-01,328.4,3355.409912,3.07,143.3,75.563
1993-04-01,337.0,3439.4399409999996,2.96,143.8,75.928
1993-05-01,353.45,3427.5500490000004,3.0,144.2,77.094
1993-06-01,378.25,3552.3400880000004,3.04,144.3,78.331
1993-07-01,377.85,3510.540039,3.06,144.5,78.137
1993-08-01,403.7,3539.469971,3.03,144.8,79.138
1993-09-01,371.8,3645.100098,3.09,145.0,81.91199999999999
1993-10-01,353.9,3581.110107,2.99,145.6,83.385
1993-11-01,367.95,3692.610107,3.02,146.0,83.88600000000001
1993-12-01,370.1,3697.080078,2.96,146.3,83.902
1994-01-01,390.65,3754.0900880000004,3.05,146.3,83.62200000000001
1994-02-01,382.1,3964.01001,3.25,146.7,85.13600000000001
1994-03-01,381.1,3809.2299799999996,3.34,147.1,85.015
1994-04-01,381.1,3635.959961,3.56,147.2,85.06700000000001
1994-05-01,376.45,3681.6899409999996,4.01,147.5,84.07700000000001
1994-06-01,387.25,3760.830078,4.25,147.9,83.773
1994-07-01,386.8,3646.649902,4.26,148.4,83.89399999999999
1994-08-01,384.0,3798.169922,4.47,149.0,83.20200000000001
1994-09-01,386.0,3901.4399409999996,4.73,149.3,83.021
1994-10-01,395.35,3843.1899409999996,4.76,149.4,82.976
1994-11-01,383.45,3863.3701170000004,5.29,149.8,82.40899999999999
1994-12-01,381.2,3700.8701170000004,5.45,150.1,80.985
1995-01-01,382.5,3834.4399409999996,5.53,150.5,80.488
1995-02-01,376.25,3847.5600590000004,5.92,150.9,80.66
1995-03-01,376.3,3994.8000490000004,5.98,151.2,80.84899999999999
1995-04-01,386.55,4157.689941,6.05,151.8,80.779
1995-05-01,386.5,4316.080078,6.01,152.1,81.204
1995-06-01,383.2,4472.75,6.0,152.4,81.328
1995-07-01,387.6,4556.100098,5.85,152.6,81.521
1995-08-01,381.75,4700.370117,5.74,152.9,82.575
1995-09-01,381.8,4647.540039,5.8,153.1,82.53200000000001
1995-10-01,383.75,4789.080078,5.76,153.5,82.932
1995-11-01,382.5,4766.680176,5.8,153.7,82.805
1995-12-01,387.15,5087.129883,5.6,153.9,82.9
1996-01-01,387.15,5117.120117,5.56,154.7,84.15299999999999
1996-02-01,406.6,5405.060059,5.22,155.0,83.925
1996-03-01,400.3,5536.560059,5.31,155.5,85.125
1996-04-01,395.0,5637.720215,5.22,156.1,84.98100000000001
1996-05-01,391.0,5575.220215,5.24,156.4,85.12700000000001
1996-06-01,390.55,5643.180176,5.27,156.7,84.73899999999999
1996-07-01,380.6,5729.97998,5.4,157.0,84.835
1996-08-01,386.65,5594.75,5.22,157.2,84.639
1996-09-01,387.25,5616.209961,5.3,157.7,85.20299999999999
1996-10-01,377.05,5904.899902,5.24,158.2,84.436
1996-11-01,377.2,6021.930176,5.31,158.7,84.024
1996-12-01,371.9,6521.700195,5.29,159.1,85.45
1997-01-01,371.9,6448.27002,5.25,159.4,84.616
1997-02-01,345.0,6813.089844,5.19,159.7,85.4
1997-03-01,360.6,6877.740234000001,5.39,159.8,84.132
1997-04-01,349.85,6611.049805,5.51,159.9,85.14299999999999
1997-05-01,339.55,6976.5,5.5,159.9,84.09200000000001
1997-06-01,345.75,7331.0,5.56,160.2,83.32600000000001
1997-07-01,333.6,7722.299805,5.52,160.4,84.634
1997-08-01,325.3,8194.0,5.54,160.8,84.573
1997-09-01,324.4,7622.399901999999,5.54,161.2,84.897
1997-10-01,336.8,8015.5,5.5,161.5,84.68
1997-11-01,310.4,7442.100098000001,5.52,161.7,85.38600000000001
1997-12-01,293.35,8013.100098000001,5.5,161.8,85.689
1998-01-01,293.35,7908.299805,5.56,162.0,85.387
1998-02-01,301.8,7906.5,5.51,162.0,84.87200000000001
1998-03-01,296.55,8545.719727,5.49,162.0,85.82600000000001
1998-04-01,301.6,8868.320312,5.45,162.2,86.098
1998-05-01,306.1,9147.070312,5.49,162.6,84.134
1998-06-01,292.35,8922.370117,5.56,162.8,85.098
1998-07-01,297.1,9048.669922,5.54,163.2,81.994
1998-08-01,289.4,8883.290039,5.55,163.4,82.70100000000001
1998-09-01,277.7,7827.430176000001,5.51,163.5,83.17200000000001
1998-10-01,299.0,7632.529785,5.07,163.9,83.0
1998-11-01,293.1,8592.099609,4.83,164.1,83.434
1998-12-01,293.35,9133.540039,4.68,164.4,83.008
1999-01-01,293.35,9181.429688,4.63,164.7,84.60700000000001
1999-02-01,287.1,9345.700195,4.76,164.7,85.05
1999-03-01,287.05,9324.780273,4.81,164.8,84.73200000000001
1999-04-01,280.5,9832.509766,4.74,165.9,83.462
1999-05-01,285.85,10789.040039,4.74,166.0,85.758
1999-06-01,265.5,10596.259766,4.76,166.0,85.17299999999999
1999-07-01,263.0,11066.419922,4.99,166.7,83.044
1999-08-01,256.75,10655.150391,5.07,167.1,82.77600000000001
1999-09-01,255.45,10937.879883,5.22,167.8,87.336
1999-10-01,303.0,10273.0,5.2,168.1,90.514
1999-11-01,293.85,10648.509766,5.42,168.4,100.316
1999-12-01,291.4,10998.389648,5.3,168.8,111.204
2000-01-01,291.4,11497.120117,5.45,169.3,93.616
2000-02-01,283.65,11041.049805,5.73,170.0,83.745
2000-03-01,293.75,10137.929688,5.85,171.0,82.104
2000-04-01,275.9,10921.919922,6.02,170.9,82.72399999999999
2000-05-01,275.9,10811.780273,6.27,171.2,84.478
2000-06-01,272.8,10652.200195,6.53,172.2,84.126
2000-07-01,289.15,10447.889648,6.54,172.7,84.14200000000001
2000-08-01,277.3,10606.950195,6.5,172.7,83.209
2000-09-01,276.6,11238.780273,6.52,173.6,83.353
2000-10-01,274.1,10650.919922,6.51,173.9,83.852
2000-11-01,266.0,10899.469727,6.51,174.2,84.01799999999999
2000-12-01,271.2,10373.540039,6.4,174.6,82.476
