test_y,forecast
876.0,956.4007
728.5,957.90027
795.5,911.67786
795.5,907.3574
918.5,907.923
943.75,954.7594
919.5,1000.6639
881.5,1017.911
987.0,1006.7708
931.5,1037.0127
936.5,1033.697
949.75,1029.082
1005.75,1030.1991
1044.5,1054.9708
1193.5,1089.1825
1193.5,1182.4106
1082.0,1243.0911
1117.25,1209.8463
1116.0,1199.516
1175.25,1193.6193
1219.75,1221.7865
1240.0,1264.9159
1168.0,1299.7941
1250.0,1272.2665
1313.0,1295.7169
1361.5,1348.876
1391.5,1408.7657
1410.25,1457.0398
1337.5,1487.1208
1414.5,1442.8993
1434.5,1454.5627
1434.5,1474.1451
1532.25,1477.8057
1492.75,1537.827
1613.5,1541.4904
1815.5,1603.7067
1629.0,1774.7994
1702.0,1722.0659
1750.0,1687.3544
1574.5,1693.7455
1744.0,1570.4911
1721.0,1592.847
1660.75,1614.3214
1661.25,1576.3219
1552.5,1548.8542
1569.5,1473.7522
1614.75,1446.9457
1657.75,1475.0103
1770.5,1527.0681
1723.25,1628.6318
1728.25,1651.5764
1728.25,1645.1055
1665.0,1630.8726
1570.0,1575.3416
1570.0,1481.6726
1469.5,1440.788
1410.25,1378.6711
1243.5,1320.2286
1323.75,1212.6627
1392.75,1207.2434
1332.25,1265.9176
1314.75,1281.4608
1245.25,1280.6058
1245.25,1244.5585
1246.5,1227.9022
1327.75,1226.6681
1286.5,1278.2855
1283.0,1287.4923
1254.0,1285.9547
1325.75,1267.4596
1284.5,1297.8717
1287.25,1294.0249
1208.5,1291.819
1173.25,1245.9867
1178.75,1205.2723
1178.75,1192.7284
1263.5,1193.9575
1205.0,1242.2042
1181.25,1240.0519
1179.0,1222.5209
1187.3,1210.6368
1171.7,1208.7988
1080.05,1201.2074
1141.9,1152.8817
1114.2,1159.3024
1147.75,1152.8931
1069.25,1166.4384
1069.25,1139.3131
1122.0,1125.7628
1240.0,1145.793
1232.1,1215.1617
1274.5,1250.434
1216.25,1285.4434
1331.75,1266.174
1348.85,1313.0283
1305.7,1345.7133
1327.9,1330.5175
1284.4,1327.747
1168.75,1297.903
1159.1,1216.5267
