 t   |   price | forecast |   budget |   €.flow |    value |  net.Val | shares | action | reward | state               
 000 |   354.0 |    288.2 |   2200.0 |      0.0 |      0.0 |      0.0 |    0.0 | buy    |    0.0 | EVEN_DOWN_NOTHAVE_PRED_UNK
 001 |   338.2 |    294.5 |   1846.0 |   -354.0 |    338.2 |    -15.8 |    1.0 | buy    |    0.0 | LOSE_DOWN_YESHAVE_PRED_UNK
 002 |   333.7 |    298.5 |   1507.8 |   -692.2 |    667.4 |    -24.9 |    2.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 003 |   345.6 |    299.9 |   1841.5 |   -358.6 |    345.6 |    -12.9 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 004 |   343.4 |    302.9 |   2187.1 |    -12.9 |      0.0 |    -12.9 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_OOK
 005 |   345.6 |    305.4 |   1843.7 |   -356.3 |    345.6 |    -10.7 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 006 |   360.5 |    307.6 |   2189.4 |    -10.7 |      0.0 |    -10.7 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_NOK
 007 |   392.0 |    312.6 |   1828.9 |   -371.2 |    392.0 |    +20.8 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 008 |   425.5 |    324.8 |   2220.9 |    +20.8 |      0.0 |    +20.8 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 009 |   401.5 |    345.3 |   1795.4 |   -404.7 |    401.5 |     -3.2 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 010 |   399.6 |    358.5 |   2196.9 |     -3.2 |      0.0 |     -3.2 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_OOK
 011 |   399.6 |    365.6 |   1797.3 |   -402.8 |    399.6 |     -3.2 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 012 |   407.3 |    369.0 |   2196.9 |     -3.2 |      0.0 |     -3.2 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_NOK
 013 |   405.8 |    372.4 |   1789.6 |   -410.5 |    405.8 |     -4.7 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 014 |   418.5 |    374.8 |   2195.3 |     -4.7 |      0.0 |     -4.7 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_NOK
 015 |   452.1 |    379.4 |   1776.8 |   -423.2 |    452.1 |    +28.9 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 016 |   443.4 |    392.3 |   2229.0 |    +28.9 |      0.0 |    +28.9 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_OOK
 017 |   449.5 |    403.0 |   1785.6 |   -414.5 |    449.5 |    +35.0 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 018 |   464.2 |    412.1 |   2235.1 |    +35.0 |      0.0 |    +35.0 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 019 |   453.1 |    422.6 |   1770.8 |   -429.2 |    453.1 |    +23.9 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 020 |   454.1 |    428.2 |   2223.9 |    +23.9 |      0.0 |    +23.9 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 021 |   468.0 |    431.2 |   1769.8 |   -430.2 |    468.0 |    +37.8 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 022 |   486.9 |    436.5 |   2237.8 |    +37.8 |      0.0 |    +37.8 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 023 |   486.9 |    446.6 |   1750.9 |   -449.1 |    486.9 |    +37.8 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 024 |   454.6 |    456.1 |   2237.8 |    +37.8 |      0.0 |    +37.8 |    0.0 | buy    |    0.0 | WINN_GOUP_NOTHAVE_PRED_OOK
 025 |   429.1 |    454.2 |   1783.2 |   -416.9 |    429.1 |    +12.3 |    1.0 | sell   |  +10.0 | LOSE_GOUP_YESHAVE_PRED_NOK
 026 |   429.1 |    442.1 |   2212.3 |    +12.3 |      0.0 |    +12.3 |    0.0 | buy    |    0.0 | WINN_GOUP_NOTHAVE_PRED_OOK
 027 |   449.8 |    429.6 |   1783.2 |   -416.9 |    449.8 |    +32.9 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 028 |   457.0 |    425.3 |   2232.9 |    +32.9 |      0.0 |    +32.9 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 029 |   436.5 |    426.5 |   1775.9 |   -424.1 |    436.5 |    +12.4 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 030 |   436.4 |    423.5 |   2212.4 |    +12.4 |      0.0 |    +12.4 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_OOK
 031 |   430.3 |    419.6 |   1776.0 |   -424.0 |    430.3 |     +6.3 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 032 |   396.1 |    414.6 |   2206.3 |     +6.3 |      0.0 |     +6.3 |    0.0 | buy    |    0.0 | WINN_GOUP_NOTHAVE_PRED_OOK
 033 |   411.0 |    401.6 |   1810.2 |   -389.8 |    411.0 |    +21.2 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 034 |   425.5 |    392.7 |   2221.2 |    +21.2 |      0.0 |    +21.2 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 035 |   410.1 |    390.9 |   1795.7 |   -404.3 |    410.1 |     +5.8 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 036 |   392.0 |    387.8 |   2205.8 |     +5.8 |      0.0 |     +5.8 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_OOK
 037 |   386.1 |    380.3 |   1813.8 |   -386.2 |    386.1 |     -0.1 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 038 |   382.3 |    371.5 |   2199.9 |     -0.1 |      0.0 |     -0.1 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_OOK
 039 |   382.3 |    363.2 |   1817.6 |   -382.4 |    382.3 |     -0.1 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 040 |   360.8 |    356.7 |   2199.9 |     -0.1 |      0.0 |     -0.1 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_OOK
 041 |   371.1 |    347.0 |   1839.1 |   -360.9 |    371.1 |    +10.2 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 042 |   369.9 |    340.8 |   2210.2 |    +10.2 |      0.0 |    +10.2 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_OOK
 043 |   358.2 |    336.9 |   1840.3 |   -359.7 |    358.2 |     -1.4 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 044 |   369.0 |    332.0 |   2198.6 |     -1.4 |      0.0 |     -1.4 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_NOK
 045 |   373.6 |    330.1 |   1829.6 |   -370.4 |    373.6 |     +3.2 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 046 |   414.1 |    330.6 |   2203.2 |     +3.2 |      0.0 |     +3.2 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_NOK
 047 |   414.1 |    341.2 |   1789.0 |   -411.0 |    414.1 |     +3.2 |    1.0 | sell   |  +10.0 | LOSE_DOWN_YESHAVE_PRED_NOK
 048 |   413.2 |    353.0 |   2203.2 |     +3.2 |      0.0 |     +3.2 |    0.0 | buy    |    0.0 | WINN_DOWN_NOTHAVE_PRED_OOK
 049 |   406.2 |    362.2 |   1789.9 |   -410.1 |    406.2 |     -3.8 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 050 |   372.2 |    366.8 |   2196.2 |     -3.8 |      0.0 |     -3.8 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_OOK
 051 |   368.9 |    360.8 |   1824.0 |   -376.0 |    368.9 |     -7.1 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
 052 |   363.1 |    352.1 |   2192.9 |     -7.1 |      0.0 |     -7.1 |    0.0 | buy    |    0.0 | LOSE_DOWN_NOTHAVE_PRED_OOK
 053 |   352.4 |    343.3 |   1829.8 |   -370.2 |    352.4 |    -17.8 |    1.0 | sell   |   -1.0 | LOSE_DOWN_YESHAVE_PRED_OOK
